	Layer 5 to Bedrock	C2	Layer 1 to Bedrock	C4
R1		1		1
R2	8	1	8	1.0295
R3	4	1	4	1.133
R4	2.66667	1	2.66667	1.3463
R5	2	1	2	1.7653
R6	1.6	1	1.6	2.6689
R7	1.33333	1	1.33333	4.8697
R8	1.14286	1	1.14286	5.945
R9	1	1	1	3.6755
R10	0.888889	1	0.888889	2.6707
R11	0.8	1	0.8	2.2956
R12	0.727273	1	0.727273	2.2263
R13	0.666667	1	0.666667	2.3713
R14	0.615385	1	0.615385	2.6834
R15	0.571429	1	0.571429	2.9638
R16	0.533333	1	0.533333	2.8203
R17	0.5	1	0.5	2.3533
R18	0.470588	1	0.470588	1.946
R19	0.444444	1	0.444444	1.6976
R20	0.421053	1	0.421053	1.5866
R21	0.4	1	0.4	1.5944
R22	0.380952	1	0.380952	1.7308
R23	0.363636	1	0.363636	2.0474
R24	0.347826	1	0.347826	2.6576
R25	0.333333	1	0.333333	3.5764
R26	0.32	1	0.32	3.7443
R27	0.307692	1	0.307692	2.8507
R28	0.296296	1	0.296296	2.1614
R29	0.285714	1	0.285714	1.7915
R30	0.275862	1	0.275862	1.6173
R31	0.266667	1	0.266667	1.5714
R32	0.258065	1	0.258065	1.6269
R33	0.25	1	0.25	1.7742
R34	0.242424	1	0.242424	1.9925
R35	0.235294	1	0.235294	2.2036
R36	0.228571	1	0.228571	2.2775
R37	0.222222	1	0.222222	2.1918
R38	0.216216	1	0.216216	2.0691
R39	0.210526	1	0.210526	2.0145
R40	0.205128	1	0.205128	2.0768
R41	0.2	1	0.2	2.281
R42	0.195122	1	0.195122	2.5955
R43	0.190476	1	0.190476	2.7374
R44	0.186047	1	0.186047	2.3652
R45	0.181818	1	0.181818	1.8252
R46	0.177778	1	0.177778	1.4312
R47	0.173913	1	0.173913	1.1888
R48	0.170213	1	0.170213	1.0504
R49	0.166667	1	0.166667	0.984
R50	0.163265	1	0.163265	0.9749
R51	0.16	1	0.16	1.0207
R52	0.156863	1	0.156863	1.1305
R53	0.153846	1	0.153846	1.3252
R54	0.150943	1	0.150943	1.6295
R55	0.148148	1	0.148148	2.0093
R56	0.145455	1	0.145455	2.2297
R57	0.142857	1	0.142857	2.1013
R58	0.140351	1	0.140351	1.8527
R59	0.137931	1	0.137931	1.6758
R60	0.135593	1	0.135593	1.6011
R61	0.133333	1	0.133333	1.6152
R62	0.131148	1	0.131148	1.6932
R63	0.129032	1	0.129032	1.7806
R64	0.126984	1	0.126984	1.7852
R65	0.125	1	0.125	1.6614
R66	0.123077	1	0.123077	1.4784
R67	0.121212	1	0.121212	1.3195
R68	0.119403	1	0.119403	1.217
R69	0.117647	1	0.117647	1.1747
R70	0.115942	1	0.115942	1.1914
R71	0.114286	1	0.114286	1.2689
R72	0.112676	1	0.112676	1.4072
R73	0.111111	1	0.111111	1.5815
R74	0.109589	1	0.109589	1.6985
R75	0.108108	1	0.108108	1.6464
R76	0.106667	1	0.106667	1.4681
R77	0.105263	1	0.105263	1.2866
R78	0.103896	1	0.103896	1.1571
R79	0.102564	1	0.102564	1.0843
R80	0.101266	1	0.101266	1.0613
R81	0.1	1	0.1	1.0815
R82	0.0987654	1	0.0987654	1.1395
R83	0.097561	1	0.097561	1.2266
R84	0.0963855	1	0.0963855	1.3243
R85	0.0952381	1	0.0952381	1.4048
R86	0.0941176	1	0.0941176	1.4479
R87	0.0930233	1	0.0930233	1.4599
R88	0.091954	1	0.091954	1.4653
R89	0.0909091	1	0.0909091	1.4832
R90	0.0898876	1	0.0898876	1.5121
R91	0.0888889	1	0.0888889	1.523
R92	0.0879121	1	0.0879121	1.472
R93	0.0869565	1	0.0869565	1.347
R94	0.0860215	1	0.0860215	1.1891
R95	0.0851064	1	0.0851064	1.0459
R96	0.0842105	1	0.0842105	0.9386
R97	0.0833333	1	0.0833333	0.87
R98	0.0824742	1	0.0824742	0.8368
R99	0.0816327	1	0.0816327	0.8364
R100	0.0808081	1	0.0808081	0.8677
R101	0.08	1	0.08	0.9307
R102	0.0792079	1	0.0792079	1.0231
R103	0.0784314	1	0.0784314	1.1317
R104	0.0776699	1	0.0776699	1.2256
R105	0.0769231	1	0.0769231	1.2689
R106	0.0761905	1	0.0761905	1.2568
R107	0.0754717	1	0.0754717	1.2192
R108	0.0747664	1	0.0747664	1.1874
R109	0.0740741	1	0.0740741	1.1746
R110	0.0733945	1	0.0733945	1.1773
R111	0.0727273	1	0.0727273	1.1784
R112	0.0720721	1	0.0720721	1.1546
R113	0.0714286	1	0.0714286	1.0946
R114	0.0707965	1	0.0707965	1.0111
R115	0.0701754	1	0.0701754	0.928
R116	0.0695652	1	0.0695652	0.8623
R117	0.0689655	1	0.0689655	0.8208
R118	0.0683761	1	0.0683761	0.8048
R119	0.0677966	1	0.0677966	0.8127
R120	0.0672269	1	0.0672269	0.8412
R121	0.0666667	1	0.0666667	0.8821
R122	0.0661157	1	0.0661157	0.919
R123	0.0655738	1	0.0655738	0.931
R124	0.0650407	1	0.0650407	0.9073
R125	0.0645161	1	0.0645161	0.8589
R126	0.064	1	0.064	0.8066
R127	0.0634921	1	0.0634921	0.7657
R128	0.0629921	1	0.0629921	0.7428
R129	0.0625	1	0.0625	0.7398
R130	0.0620155	1	0.0620155	0.756
R131	0.0615385	1	0.0615385	0.7897
R132	0.0610687	1	0.0610687	0.8363
R133	0.0606061	1	0.0606061	0.8878
R134	0.0601504	1	0.0601504	0.9332
R135	0.0597015	1	0.0597015	0.9635
R136	0.0592593	1	0.0592593	0.9769
R137	0.0588235	1	0.0588235	0.9788
R138	0.0583942	1	0.0583942	0.975
R139	0.057971	1	0.057971	0.9664
R140	0.057554	1	0.057554	0.9485
R141	0.0571429	1	0.0571429	0.9155
R142	0.0567376	1	0.0567376	0.8669
R143	0.056338	1	0.056338	0.8097
R144	0.0559441	1	0.0559441	0.7543
R145	0.0555556	1	0.0555556	0.7088
R146	0.0551724	1	0.0551724	0.6774
R147	0.0547945	1	0.0547945	0.6617
R148	0.0544218	1	0.0544218	0.6615
R149	0.0540541	1	0.0540541	0.6759
R150	0.0536913	1	0.0536913	0.7026
R151	0.0533333	1	0.0533333	0.7372
R152	0.0529801	1	0.0529801	0.7724
R153	0.0526316	1	0.0526316	0.7995
R154	0.0522876	1	0.0522876	0.8129
R155	0.0519481	1	0.0519481	0.8131
R156	0.0516129	1	0.0516129	0.8052
R157	0.0512821	1	0.0512821	0.7946
R158	0.0509554	1	0.0509554	0.7827
R159	0.0506329	1	0.0506329	0.7673
R160	0.0503145	1	0.0503145	0.7444
R161	0.05	1	0.05	0.712
R162	0.0496894	1	0.0496894	0.6725
R163	0.0493827	1	0.0493827	0.6317
R164	0.0490798	1	0.0490798	0.5955
R165	0.0487805	1	0.0487805	0.5677
R166	0.0484848	1	0.0484848	0.55
R167	0.0481928	1	0.0481928	0.5423
R168	0.0479042	1	0.0479042	0.5433
R169	0.047619	1	0.047619	0.5501
R170	0.0473373	1	0.0473373	0.5587
R171	0.0470588	1	0.0470588	0.5637
R172	0.0467836	1	0.0467836	0.5613
R173	0.0465116	1	0.0465116	0.5506
R174	0.0462428	1	0.0462428	0.5352
R175	0.045977	1	0.045977	0.5198
R176	0.0457143	1	0.0457143	0.5086
R177	0.0454545	1	0.0454545	0.5043
R178	0.0451977	1	0.0451977	0.508
R179	0.0449438	1	0.0449438	0.5195
R180	0.0446927	1	0.0446927	0.5375
R181	0.0444444	1	0.0444444	0.5595
R182	0.0441989	1	0.0441989	0.5817
R183	0.043956	1	0.043956	0.6
R184	0.0437158	1	0.0437158	0.6118
R185	0.0434783	1	0.0434783	0.617
R186	0.0432432	1	0.0432432	0.6172
R187	0.0430108	1	0.0430108	0.6143
R188	0.0427807	1	0.0427807	0.6087
R189	0.0425532	1	0.0425532	0.5996
R190	0.042328	1	0.042328	0.5858
R191	0.0421053	1	0.0421053	0.567
R192	0.0418848	1	0.0418848	0.5447
R193	0.0416667	1	0.0416667	0.522
R194	0.0414508	1	0.0414508	0.502
R195	0.0412371	1	0.0412371	0.487
R196	0.0410256	1	0.0410256	0.4783
R197	0.0408163	1	0.0408163	0.4761
R198	0.0406091	1	0.0406091	0.48
