	Layer 5, Damping:   5.0%	C2	Layer 1, Damping:   5.0%	C4
R1	0.01	0.15752	0.01	0.23055
R2	0.02	0.15738	0.02	0.23154
R3	0.03	0.15525	0.03	0.23687
R4	0.04	0.21131	0.04	0.24581
R5	0.05	0.27191	0.05	0.32256
R6	0.06	0.29946	0.06	0.37367
R7	0.07	0.30208	0.07	0.39725
R8	0.08	0.33701	0.08	0.42921
R9	0.09	0.35753	0.09	0.45552
R10	0.1	0.33682	0.1	0.47295
R11	0.11	0.26762	0.11	0.44809
R12	0.12	0.25306	0.12	0.45225
R13	0.13	0.28673	0.13	0.50777
R14	0.14	0.32001	0.14	0.58165
R15	0.15	0.31716	0.15	0.53703
R16	0.16	0.28714	0.16	0.45395
R17	0.17	0.2555	0.17	0.42511
R18	0.18	0.23895	0.18	0.50938
R19	0.19	0.23256	0.19	0.56363
R20	0.2	0.23451	0.2	0.46419
R21	0.21	0.24757	0.21	0.46774
R22	0.22	0.26234	0.22	0.48937
R23	0.23	0.26742	0.23	0.49432
R24	0.24	0.267	0.24	0.51425
R25	0.25	0.26269	0.25	0.54084
R26	0.26	0.28075	0.26	0.55465
R27	0.27	0.32559	0.27	0.64959
R28	0.28	0.34645	0.28	0.72363
R29	0.29	0.35397	0.29	0.76331
R30	0.3	0.36348	0.3	0.80011
R31	0.31	0.34711	0.31	0.82332
R32	0.32	0.31083	0.32	0.79651
R33	0.33	0.2639	0.33	0.70697
R34	0.34	0.21259	0.34	0.58197
R35	0.35	0.19836	0.35	0.47787
R36	0.36	0.20024	0.36	0.42842
R37	0.37	0.19987	0.37	0.4289
R38	0.38	0.19905	0.38	0.42686
R39	0.39	0.196	0.39	0.42086
R40	0.4	0.19712	0.4	0.41309
R41	0.41	0.20377	0.41	0.41183
R42	0.42	0.20354	0.42	0.40965
R43	0.43	0.19834	0.43	0.39342
R44	0.44	0.19042	0.44	0.37255
R45	0.45	0.1799	0.45	0.37451
R46	0.46	0.16814	0.46	0.36712
R47	0.47	0.1568	0.47	0.35303
R48	0.48	0.15412	0.48	0.34225
R49	0.49	0.1527	0.49	0.33993
R50	0.5	0.15161	0.5	0.3378
R51	0.51	0.15036	0.51	0.33503
R52	0.52	0.14895	0.52	0.33215
R53	0.53	0.14776	0.53	0.33022
R54	0.54	0.14695	0.54	0.32996
R55	0.55	0.14655	0.55	0.33028
R56	0.56	0.1464	0.56	0.33046
R57	0.57	0.14609	0.57	0.33011
