	Layer 1 to Bedrock	C2
R1		1
R2	8	1.0251
R3	4	1.113
R4	2.66667	1.2891
R5	2	1.6167
R6	1.6	2.2587
R7	1.33333	3.6689
R8	1.14286	5.9676
R9	1	4.6785
R10	0.888889	3.1704
R11	0.8	2.5248
R12	0.727273	2.2831
R13	0.666667	2.2748
R14	0.615385	2.4452
R15	0.571429	2.7406
R16	0.533333	2.953
R17	0.5	2.7743
R18	0.470588	2.3333
R19	0.444444	1.9429
R20	0.421053	1.6894
R21	0.4	1.5568
R22	0.380952	1.5249
R23	0.363636	1.5914
R24	0.347826	1.7784
R25	0.333333	2.1448
R26	0.32	2.7923
R27	0.307692	3.6462
R28	0.296296	3.7134
R29	0.285714	2.9124
R30	0.275862	2.2709
R31	0.266667	1.9089
R32	0.258065	1.7303
R33	0.25	1.675
R34	0.242424	1.7153
R35	0.235294	1.8366
R36	0.228571	2.013
R37	0.222222	2.174
R38	0.216216	2.2169
R39	0.210526	2.1214
R40	0.205128	1.9797
R41	0.2	1.8807
R42	0.195122	1.8666
R43	0.190476	1.9606
R44	0.186047	2.1858
R45	0.181818	2.5336
R46	0.177778	2.7864
R47	0.173913	2.5379
R48	0.170213	2.0025
R49	0.166667	1.5698
R50	0.163265	1.2923
R51	0.16	1.1265
R52	0.156863	1.0368
R53	0.153846	1.0044
R54	0.150943	1.0224
R55	0.148148	1.0934
R56	0.145455	1.2298
R57	0.142857	1.4526
R58	0.140351	1.7781
R59	0.137931	2.1461
R60	0.135593	2.324
R61	0.133333	2.1908
R62	0.131148	1.9601
R63	0.129032	1.7937
R64	0.126984	1.722
R65	0.125	1.7349
R66	0.123077	1.8086
R67	0.121212	1.8896
R68	0.119403	1.887
R69	0.117647	1.7512
R70	0.115942	1.546
R71	0.114286	1.358
R72	0.112676	1.2231
R73	0.111111	1.1448
R74	0.109589	1.1189
R75	0.108108	1.1436
R76	0.106667	1.2216
R77	0.105263	1.3582
R78	0.103896	1.5474
R79	0.102564	1.7368
R80	0.101266	1.8075
R81	0.1	1.703
R82	0.0987654	1.5216
R83	0.097561	1.3625
R84	0.0963855	1.2567
R85	0.0952381	1.2032
R86	0.0941176	1.1941
R87	0.0930233	1.2211
R88	0.091954	1.2726
R89	0.0909091	1.3311
R90	0.0898876	1.3742
R91	0.0888889	1.3868
R92	0.0879121	1.3737
R93	0.0869565	1.3552
R94	0.0860215	1.3521
R95	0.0851064	1.3769
R96	0.0842105	1.4312
R97	0.0833333	1.4987
R98	0.0824742	1.5371
R99	0.0816327	1.4952
R100	0.0808081	1.3702
R101	0.08	1.2146
R102	0.0792079	1.0771
R103	0.0784314	0.9759
R104	0.0776699	0.9124
R105	0.0769231	0.8833
R106	0.0761905	0.8859
R107	0.0754717	0.9192
R108	0.0747664	0.9831
R109	0.0740741	1.0754
R110	0.0733945	1.1852
R111	0.0727273	1.2865
R112	0.0720721	1.3458
R113	0.0714286	1.3509
R114	0.0707965	1.3232
R115	0.0701754	1.2935
R116	0.0695652	1.2795
R117	0.0689655	1.2824
R118	0.0683761	1.2883
R119	0.0677966	1.2722
R120	0.0672269	1.2137
R121	0.0666667	1.1178
R122	0.0661157	1.0104
R123	0.0655738	0.9154
R124	0.0650407	0.8441
R125	0.0645161	0.7988
R126	0.064	0.7786
R127	0.0634921	0.7823
R128	0.0629921	0.8088
R129	0.0625	0.8561
R130	0.0620155	0.9185
R131	0.0615385	0.9824
R132	0.0610687	1.0259
R133	0.0606061	1.0317
R134	0.0601504	1.0029
R135	0.0597015	0.9595
R136	0.0592593	0.9206
R137	0.0588235	0.8964
R138	0.0583942	0.8901
R139	0.057971	0.9008
R140	0.057554	0.9243
R141	0.0571429	0.9535
R142	0.0567376	0.9791
R143	0.056338	0.9934
R144	0.0559441	0.9944
R145	0.0555556	0.987
R146	0.0551724	0.9792
R147	0.0547945	0.9767
R148	0.0544218	0.981
R149	0.0540541	0.988
R150	0.0536913	0.9886
R151	0.0533333	0.9727
R152	0.0529801	0.9363
R153	0.0526316	0.8849
R154	0.0522876	0.8303
R155	0.0519481	0.7827
R156	0.0516129	0.7481
R157	0.0512821	0.7289
R158	0.0509554	0.7254
R159	0.0506329	0.7369
R160	0.0503145	0.7617
R161	0.05	0.7959
R162	0.0496894	0.8335
R163	0.0493827	0.8662
R164	0.0490798	0.8871
R165	0.0487805	0.8939
R166	0.0484848	0.8901
R167	0.0481928	0.8813
R168	0.0479042	0.8705
R169	0.047619	0.8567
R170	0.0473373	0.8353
R171	0.0470588	0.8019
R172	0.0467836	0.7562
R173	0.0465116	0.7033
R174	0.0462428	0.6509
R175	0.045977	0.6053
R176	0.0457143	0.5701
R177	0.0454545	0.5466
R178	0.0451977	0.5346
R179	0.0449438	0.5339
R180	0.0446927	0.5434
R181	0.0444444	0.5618
R182	0.0441989	0.5865
R183	0.043956	0.613
R184	0.0437158	0.6356
R185	0.0434783	0.6492
R186	0.0432432	0.6524
R187	0.0430108	0.648
R188	0.0427807	0.6411
R189	0.0425532	0.6363
R190	0.042328	0.6362
R191	0.0421053	0.6412
R192	0.0418848	0.6496
R193	0.0416667	0.6585
R194	0.0414508	0.6641
R195	0.0412371	0.664
R196	0.0410256	0.6583
R197	0.0408163	0.6491
R198	0.0406091	0.6398
R199	0.040404	0.633
R200	0.040201	0.63
