	Layer 5, Damping:   5.0%	C2	Layer 1, Damping:   5.0%	C4
R1	0.01	0.12569	0.01	0.27887
R2	0.02	0.12611	0.02	0.27991
R3	0.03	0.12736	0.03	0.28253
R4	0.04	0.1291	0.04	0.28613
R5	0.05	0.13147	0.05	0.29099
R6	0.06	0.13464	0.06	0.29748
R7	0.07	0.13889	0.07	0.30618
R8	0.08	0.14507	0.08	0.31823
R9	0.09	0.15608	0.09	0.33635
R10	0.1	0.18007	0.1	0.37484
R11	0.11	0.2207	0.11	0.36638
R12	0.12	0.20499	0.12	0.39475
R13	0.13	0.23356	0.13	0.38649
R14	0.14	0.23398	0.14	0.43323
R15	0.15	0.22266	0.15	0.41305
R16	0.16	0.23975	0.16	0.44284
R17	0.17	0.23306	0.17	0.45111
R18	0.18	0.19569	0.18	0.42595
R19	0.19	0.19068	0.19	0.40237
R20	0.2	0.19254	0.2	0.42629
R21	0.21	0.22568	0.21	0.41642
R22	0.22	0.24635	0.22	0.46963
R23	0.23	0.2577	0.23	0.50405
R24	0.24	0.26642	0.24	0.53173
R25	0.25	0.27314	0.25	0.55485
R26	0.26	0.2877	0.26	0.65387
R27	0.27	0.30348	0.27	0.72677
R28	0.28	0.32398	0.28	0.75652
R29	0.29	0.32573	0.29	0.73995
R30	0.3	0.31085	0.3	0.69782
R31	0.31	0.28958	0.31	0.63902
R32	0.32	0.27509	0.32	0.58817
R33	0.33	0.27544	0.33	0.56638
R34	0.34	0.29115	0.34	0.58043
R35	0.35	0.31463	0.35	0.62042
R36	0.36	0.33554	0.36	0.66624
R37	0.37	0.35378	0.37	0.70306
R38	0.38	0.3629	0.38	0.72466
R39	0.39	0.36209	0.39	0.72899
R40	0.4	0.35392	0.4	0.71625
R41	0.41	0.33858	0.41	0.68725
R42	0.42	0.31679	0.42	0.64434
R43	0.43	0.2915	0.43	0.59327
R44	0.44	0.26445	0.44	0.53774
R45	0.45	0.23721	0.45	0.48392
R46	0.46	0.21332	0.46	0.43581
R47	0.47	0.19264	0.47	0.39744
R48	0.48	0.176	0.48	0.36852
R49	0.49	0.1648	0.49	0.35408
R50	0.5	0.15981	0.5	0.35392
R51	0.51	0.15955	0.51	0.3624
R52	0.52	0.16199	0.52	0.37482
R53	0.53	0.16668	0.53	0.39136
R54	0.54	0.17387	0.54	0.41323
R55	0.55	0.18262	0.55	0.43766
R56	0.56	0.19096	0.56	0.46009
R57	0.57	0.19805	0.57	0.47726
R58	0.58	0.20343	0.58	0.4906
R59	0.6	0.21088	0.6	0.50917
R60	0.62	0.21477	0.62	0.51882
R61	0.64	0.21225	0.64	0.51462
R62	0.66	0.20628	0.66	0.50275
R63	0.68	0.20056	0.68	0.49187
R64	0.7	0.19396	0.7	0.47926
R65	0.72	0.18378	0.72	0.45802
R66	0.74	0.17023	0.74	0.42795
R67	0.76	0.15554	0.76	0.39448
R68	0.78	0.142	0.78	0.36293
R69	0.8	0.13163	0.8	0.34996
R70	0.82	0.12454	0.82	0.33369
R71	0.84	0.11533	0.84	0.3121
R72	0.86	0.10487	0.86	0.28701
R73	0.88	0.09444	0.88	0.26189
R74	0.9	0.08463	0.9	0.23908
R75	0.92	0.07548	0.92	0.21585
R76	0.94	0.06776	0.94	0.19329
R77	0.96	0.06099	0.96	0.17297
R78	0.98	0.05467	0.98	0.1633
R79	1	0.04919	1	0.15758
R80	1.05	0.04099	1.05	0.15401
R81	1.1	0.03803	1.1	0.15011
R82	1.15	0.03726	1.15	0.13294
R83	1.2	0.03637	1.2	0.11581
R84	1.25	0.03735	1.25	0.11529
R85	1.3	0.03985	1.3	0.11558
R86	1.35	0.04176	1.35	0.11432
R87	1.4	0.04175	1.4	0.10964
R88	1.45	0.04008	1.45	0.1006
R89	1.5	0.03777	1.5	0.09008
R90	1.55	0.03565	1.55	0.08546
R91	1.6	0.03454	1.6	0.08337
R92	1.65	0.03454	1.65	0.08188
R93	1.7	0.03468	1.7	0.0804
R94	1.75	0.03458	1.75	0.07821
R95	1.8	0.03407	1.8	0.07493
R96	1.85	0.03305	1.85	0.07058
R97	1.9	0.03166	1.9	0.06548
R98	1.95	0.03002	1.95	0.06007
R99	2	0.02834	2	0.05477
R100	2.05	0.02673	2.05	0.04985
R101	2.1	0.02533	2.1	0.04734
R102	2.15	0.02417	2.15	0.04529
R103	2.2	0.02326	2.2	0.04351
R104	2.25	0.02257	2.25	0.04205
R105	2.3	0.02204	2.3	0.04087
R106	2.35	0.02165	2.35	0.03993
R107	2.4	0.02132	2.4	0.03916
R108	2.5	0.02066	2.5	0.03782
R109	2.6	0.0198	2.6	0.0364
R110	2.7	0.01866	2.7	0.03463
R111	2.8	0.01727	2.8	0.03247
R112	2.9	0.01569	2.9	0.03
R113	3	0.01441	3	0.02738
R114	3.1	0.01324	3.1	0.02476
R115	3.2	0.01199	3.2	0.02226
R116	3.3	0.01076	3.3	0.01998
R117	3.4	0.00991	3.4	0.01795
R118	3.5	0.00927	3.5	0.01618
R119	3.6	0.00862	3.6	0.01466
R120	3.7	0.00801	3.7	0.01337
R121	3.8	0.00746	3.8	0.01229
R122	3.9	0.00698	3.9	0.01138
R123	4	0.00657	4	0.01061
R124	4.1	0.00623	4.1	0.00997
R125	4.2	0.00594	4.2	0.00941
R126	4.3	0.00571	4.3	0.00892
R127	4.4	0.0055	4.4	0.00849
R128	4.5	0.00533	4.5	0.00809
R129	4.6	0.00516	4.6	0.00772
R130	4.7	0.00501	4.7	0.00736
R131	4.8	0.00486	4.8	0.00702
R132	4.9	0.00471	4.9	0.00669
R133	5	0.00456	5	0.00637
R134	5.1	0.0044	5.1	0.00606
R135	5.2	0.00424	5.2	0.00575
R136	5.4	0.00391	5.4	0.00516
R137	5.6	0.00357	5.6	0.0046
R138	5.8	0.00341	5.8	0.00428
R139	6	0.00349	6	0.00414
R140	6.2	0.00348	6.2	0.004
R141	6.4	0.0034	6.4	0.00386
R142	6.6	0.00328	6.6	0.00372
R143	6.8	0.00311	6.8	0.00357
R144	7	0.00295	7	0.00343
R145	7.2	0.00282	7.2	0.00328
R146	7.4	0.0027	7.4	0.00314
R147	7.6	0.00255	7.6	0.003
R148	7.8	0.00239	7.8	0.00286
R149	8	0.0023	8	0.00273
R150	8.5	0.00209	8.5	0.00241
R151	9	0.00188	9	0.00213
R152	9.5	0.00169	9.5	0.00187
R153	10	0.0015	10	0.00165
R154	10.5	0	10.5	0
R155				
R156				
R157				
R158				
R159				
R160				
R161				
R162				
R163				
R164				
R165				
R166				
R167				
R168				
R169				
R170				
R171				
R172				
R173				
R174				
R175				
R176				
R177				
R178				
R179				
R180				
R181				
R182				
R183				
R184				
R185				
R186				
R187				
R188				
R189				
R190				
R191				
R192				
R193				
R194				
R195				
R196				
R197				
R198				
R199				
R200				
