	Layer 1 to Bedrock	C2
R1		1
R2	8	1.0262
R3	4	1.1178
R4	2.66667	1.3024
R5	2	1.6495
R6	1.6	2.3427
R7	1.33333	3.9009
R8	1.14286	6.164
R9	1	4.521
R10	0.888889	3.1161
R11	0.8	2.5404
R12	0.727273	2.3536
R13	0.666667	2.4074
R14	0.615385	2.6554
R15	0.571429	3.002
R16	0.533333	3.0997
R17	0.5	2.7106
R18	0.470588	2.2029
R19	0.444444	1.8359
R20	0.421053	1.6213
R21	0.4	1.5259
R22	0.380952	1.5314
R23	0.363636	1.643
R24	0.347826	1.8955
R25	0.333333	2.3672
R26	0.32	3.1482
R27	0.307692	3.8612
R28	0.296296	3.4763
R29	0.285714	2.7037
R30	0.275862	2.2025
R31	0.266667	1.9431
R32	0.258065	1.8449
R33	0.25	1.8657
R34	0.242424	1.9833
R35	0.235294	2.1632
R36	0.228571	2.3167
R37	0.222222	2.3215
R38	0.216216	2.1721
R39	0.210526	1.9884
R40	0.205128	1.8631
R41	0.2	1.8313
R42	0.195122	1.9097
R43	0.190476	2.1202
R44	0.186047	2.4673
R45	0.181818	2.7852
R46	0.177778	2.6432
R47	0.173913	2.13
R48	0.170213	1.6802
R49	0.166667	1.3893
R50	0.163265	1.2191
R51	0.16	1.1336
R52	0.156863	1.1138
R53	0.153846	1.1549
R54	0.150943	1.2641
R55	0.148148	1.4596
R56	0.145455	1.7611
R57	0.142857	2.1304
R58	0.140351	2.3479
R59	0.137931	2.2245
R60	0.135593	1.9605
R61	0.133333	1.7559
R62	0.131148	1.6527
R63	0.129032	1.6423
R64	0.126984	1.7102
R65	0.125	1.827
R66	0.123077	1.9193
R67	0.121212	1.8843
R68	0.119403	1.7145
R69	0.117647	1.5101
R70	0.115942	1.3469
R71	0.114286	1.2453
R72	0.112676	1.2039
R73	0.111111	1.2204
R74	0.109589	1.2965
R75	0.108108	1.4359
R76	0.106667	1.6272
R77	0.105263	1.802
R78	0.103896	1.8304
R79	0.102564	1.6849
R80	0.101266	1.4872
R81	0.1	1.3274
R82	0.0987654	1.2264
R83	0.097561	1.1792
R84	0.0963855	1.1775
R85	0.0952381	1.213
R86	0.0941176	1.2748
R87	0.0930233	1.3446
R88	0.091954	1.3982
R89	0.0909091	1.419
R90	0.0898876	1.4127
R91	0.0888889	1.4019
R92	0.0879121	1.4085
R93	0.0869565	1.4442
R94	0.0860215	1.5051
R95	0.0851064	1.5628
R96	0.0842105	1.5626
R97	0.0833333	1.4682
R98	0.0824742	1.3117
R99	0.0816327	1.1542
R100	0.0808081	1.0299
R101	0.08	0.9461
R102	0.0792079	0.9003
R103	0.0784314	0.8887
R104	0.0776699	0.9094
R105	0.0769231	0.9621
R106	0.0761905	1.0454
R107	0.0754717	1.152
R108	0.0747664	1.2601
R109	0.0740741	1.3356
R110	0.0733945	1.3565
R111	0.0727273	1.3368
R112	0.0720721	1.3083
R113	0.0714286	1.2933
R114	0.0707965	1.2962
R115	0.0701754	1.3042
R116	0.0695652	1.2909
R117	0.0689655	1.232
R118	0.0683761	1.1313
R119	0.0677966	1.0174
R120	0.0672269	0.9168
R121	0.0666667	0.8417
R122	0.0661157	0.7943
R123	0.0655738	0.7733
R124	0.0650407	0.7773
R125	0.0645161	0.8054
R126	0.064	0.8558
R127	0.0634921	0.9235
R128	0.0629921	0.9948
R129	0.0625	1.0467
R130	0.0620155	1.0598
R131	0.0615385	1.0364
R132	0.0610687	0.9972
R133	0.0606061	0.9627
R134	0.0601504	0.9439
R135	0.0597015	0.9437
R136	0.0592593	0.9602
R137	0.0588235	0.9872
R138	0.0583942	1.0147
R139	0.057971	1.0322
R140	0.057554	1.0337
R141	0.0571429	1.0222
R142	0.0567376	1.0065
R143	0.056338	0.9956
R144	0.0559441	0.9938
R145	0.0555556	1.0001
R146	0.0551724	1.0077
R147	0.0547945	1.0058
R148	0.0544218	0.9852
R149	0.0540541	0.9455
R150	0.0536913	0.8955
R151	0.0533333	0.8471
R152	0.0529801	0.8092
R153	0.0526316	0.7863
R154	0.0522876	0.7797
R155	0.0519481	0.7888
R156	0.0516129	0.8112
R157	0.0512821	0.8424
R158	0.0509554	0.8747
R159	0.0506329	0.8995
R160	0.0503145	0.9104
R161	0.05	0.9076
R162	0.0496894	0.8967
R163	0.0493827	0.8836
R164	0.0490798	0.8709
R165	0.0487805	0.8566
R166	0.0484848	0.8353
R167	0.0481928	0.8021
R168	0.0479042	0.7569
R169	0.047619	0.7053
R170	0.0473373	0.655
R171	0.0470588	0.6123
R172	0.0467836	0.5806
R173	0.0465116	0.5609
R174	0.0462428	0.5532
R175	0.045977	0.5568
R176	0.0457143	0.5702
R177	0.0454545	0.5909
R178	0.0451977	0.6146
R179	0.0449438	0.6352
R180	0.0446927	0.6471
R181	0.0444444	0.648
R182	0.0441989	0.6405
R183	0.043956	0.6301
R184	0.0437158	0.6219
R185	0.0434783	0.6192
R186	0.0432432	0.6226
R187	0.0430108	0.631
R188	0.0427807	0.6415
R189	0.0425532	0.6501
R190	0.042328	0.6535
R191	0.0421053	0.6507
R192	0.0418848	0.6433
R193	0.0416667	0.6347
R194	0.0414508	0.628
R195	0.0412371	0.6249
R196	0.0410256	0.6252
R197	0.0408163	0.6271
R198	0.0406091	0.6274
R199	0.040404	0.6229
R200	0.040201	0.6122
