	Layer 5, Damping:   5.0%	C2	Layer 1, Damping:   5.0%	C4
R1	0.01	0.07742	0.01	0.19514
R2	0.02	0.07728	0.02	0.19566
R3	0.03	0.07845	0.03	0.1968
R4	0.04	0.08009	0.04	0.19846
R5	0.05	0.08236	0.05	0.20085
R6	0.06	0.08547	0.06	0.20429
R7	0.07	0.08978	0.07	0.20938
R8	0.08	0.0959	0.08	0.21754
R9	0.09	0.10467	0.09	0.233
R10	0.1	0.12305	0.1	0.27131
R11	0.11	0.19064	0.11	0.33272
R12	0.12	0.21109	0.12	0.35572
R13	0.13	0.19367	0.13	0.33827
R14	0.14	0.16453	0.14	0.3269
R15	0.15	0.15721	0.15	0.31543
R16	0.16	0.14069	0.16	0.30262
R17	0.17	0.12934	0.17	0.30236
R18	0.18	0.136	0.18	0.33684
R19	0.19	0.14225	0.19	0.34869
R20	0.2	0.15088	0.2	0.36953
R21	0.21	0.15364	0.21	0.38149
R22	0.22	0.16302	0.22	0.409
R23	0.23	0.17152	0.23	0.4331
R24	0.24	0.17827	0.24	0.44937
R25	0.25	0.17732	0.25	0.47041
R26	0.26	0.1701	0.26	0.48055
R27	0.27	0.17283	0.27	0.51773
R28	0.28	0.19899	0.28	0.59145
R29	0.29	0.22597	0.29	0.65946
R30	0.3	0.22916	0.3	0.68296
R31	0.31	0.20351	0.31	0.64732
R32	0.32	0.18883	0.32	0.55956
R33	0.33	0.18309	0.33	0.50553
R34	0.34	0.17275	0.34	0.48511
R35	0.35	0.16064	0.35	0.45919
R36	0.36	0.14941	0.36	0.43397
R37	0.37	0.14466	0.37	0.42065
R38	0.38	0.14866	0.38	0.42172
R39	0.39	0.15969	0.39	0.43705
R40	0.4	0.17528	0.4	0.46269
R41	0.41	0.19283	0.41	0.4941
R42	0.42	0.20756	0.42	0.52275
R43	0.43	0.22007	0.43	0.54804
R44	0.44	0.23021	0.44	0.5682
R45	0.45	0.23661	0.45	0.58051
R46	0.46	0.23792	0.46	0.58278
R47	0.47	0.2351	0.47	0.57741
R48	0.48	0.22991	0.48	0.56768
R49	0.49	0.22276	0.49	0.55366
R50	0.5	0.21318	0.5	0.53395
R51	0.51	0.20129	0.51	0.50901
R52	0.52	0.18802	0.52	0.48126
R53	0.53	0.17448	0.53	0.45299
R54	0.54	0.16108	0.54	0.42517
R55	0.55	0.14791	0.55	0.39791
R56	0.56	0.13514	0.56	0.37138
R57	0.57	0.123	0.57	0.34604
R58	0.58	0.11182	0.58	0.32237
R59	0.6	0.09293	0.6	0.28053
R60	0.62	0.07922	0.62	0.24797
R61	0.64	0.07111	0.64	0.22696
R62	0.66	0.06775	0.66	0.21766
R63	0.68	0.06775	0.68	0.21776
R64	0.7	0.07026	0.7	0.22597
R65	0.72	0.07371	0.72	0.239
R66	0.74	0.07655	0.74	0.25176
R67	0.76	0.07838	0.76	0.2623
R68	0.78	0.07996	0.78	0.27163
R69	0.8	0.08176	0.8	0.28119
R70	0.82	0.08355	0.82	0.29041
R71	0.84	0.08458	0.84	0.29709
R72	0.86	0.08425	0.86	0.29935
R73	0.88	0.08242	0.88	0.29716
R74	0.9	0.07968	0.9	0.29215
R75	0.92	0.07673	0.92	0.28635
R76	0.94	0.07389	0.94	0.28095
R77	0.96	0.07239	0.96	0.27798
R78	0.98	0.07216	0.98	0.27676
R79	1	0.07175	1	0.27505
R80	1.05	0.06845	1.05	0.26241
R81	1.1	0.06217	1.1	0.25126
R82	1.15	0.05587	1.15	0.23111
R83	1.2	0.05109	1.2	0.21183
R84	1.25	0.04693	1.25	0.19407
R85	1.3	0.0423	1.3	0.17163
R86	1.35	0.03716	1.35	0.14455
R87	1.4	0.03219	1.4	0.12458
R88	1.45	0.028	1.45	0.10956
R89	1.5	0.02476	1.5	0.09661
R90	1.55	0.02225	1.55	0.0859
R91	1.6	0.02016	1.6	0.07679
R92	1.65	0.01853	1.65	0.06859
R93	1.7	0.01701	1.7	0.06187
R94	1.75	0.01551	1.75	0.0571
