# Time	Amplitude (cm/s/s)
   0.000000	   0.209243
   0.009766	   0.077413
   0.019531	  -0.022058
   0.029297	  -0.093466
   0.039062	  -0.152849
   0.048828	  -0.220571
   0.058594	  -0.312036
   0.068359	  -0.430046
   0.078125	  -0.561781
   0.087891	  -0.681738
   0.097656	  -0.759752
   0.107422	  -0.771292
   0.117188	  -0.706307
   0.126953	  -0.573345
   0.136719	  -0.397339
   0.146484	  -0.211771
   0.156250	  -0.048029
   0.166016	   0.074165
   0.175781	   0.151721
   0.185547	   0.196661
   0.195312	   0.228697
   0.205078	   0.264681
   0.214844	   0.309017
   0.224609	   0.348823
   0.234375	   0.355981
   0.244141	   0.295651
   0.253906	   0.138359
   0.263672	  -0.128675
   0.273438	  -0.495253
   0.283203	  -0.929476
   0.292969	  -1.386483
   0.302734	  -1.821744
   0.312500	  -2.204267
   0.322266	  -2.524916
   0.332031	  -2.796692
   0.341797	  -3.046633
   0.351562	  -3.302086
   0.361328	  -3.576257
   0.371094	  -3.858435
   0.380859	  -4.112841
   0.390625	  -4.287113
   0.400391	  -4.328024
   0.410156	  -4.199360
   0.419922	  -3.895834
   0.429688	  -3.448019
   0.439453	  -2.916132
   0.449219	  -2.374188
   0.458984	  -1.889306
   0.468750	  -1.502721
   0.478516	  -1.218599
   0.488281	  -1.004361
   0.498047	  -0.802497
   0.507812	  -0.550197
   0.517578	  -0.200644
   0.527344	   0.260673
   0.537109	   0.809577
   0.546875	   1.388491
   0.556641	   1.921479
   0.566406	   2.334159
   0.576172	   2.572410
   0.585938	   2.614485
   0.595703	   2.473591
   0.605469	   2.191125
   0.615234	   1.823620
   0.625000	   1.428027
   0.634766	   1.049921
   0.644531	   0.717600
   0.654297	   0.442693
   0.664062	   0.225542
   0.673828	   0.062244
   0.683594	  -0.049834
   0.693359	  -0.110115
   0.703125	  -0.116662
   0.712891	  -0.070297
   0.722656	   0.021486
   0.732422	   0.143085
   0.742188	   0.272972
   0.751953	   0.388931
   0.761719	   0.474367
   0.771484	   0.523085
   0.781250	   0.540436
   0.791016	   0.540081
   0.800781	   0.537435
   0.810547	   0.542237
   0.820312	   0.553213
   0.830078	   0.557105
   0.839844	   0.532779
   0.849609	   0.459156
   0.859375	   0.324167
   0.869141	   0.131404
   0.878906	  -0.098164
   0.888672	  -0.330317
   0.898438	  -0.526367
   0.908203	  -0.653675
   0.917969	  -0.694330
   0.927734	  -0.649029
   0.937500	  -0.534904
   0.947266	  -0.378261
   0.957031	  -0.204958
   0.966797	  -0.031993
   0.976562	   0.136673
   0.986328	   0.308704
   0.996094	   0.497182
   1.005859	   0.712214
   1.015625	   0.953802
   1.025391	   1.208860
   1.035156	   1.453615
   1.044922	   1.660434
   1.054688	   1.806333
   1.064453	   1.879652
   1.074219	   1.882078
   1.083984	   1.825015
   1.093750	   1.721640
   1.103516	   1.577902
   1.113281	   1.386418
   1.123047	   1.126355
   1.132812	   0.770226
   1.142578	   0.295775
   1.152344	  -0.301111
   1.162109	  -0.997460
   1.171875	  -1.742246
   1.181641	  -2.464945
   1.191406	  -3.091793
   1.201172	  -3.565036
   1.210938	  -3.858997
   1.220703	  -3.987406
   1.230469	  -3.999035
   1.240234	  -3.962443
   1.250000	  -3.944320
   1.259766	  -3.988204
   1.269531	  -4.100421
   1.279297	  -4.247913
   1.289062	  -4.368761
   1.298828	  -4.392060
   1.308594	  -4.260722
   1.318359	  -3.949813
   1.328125	  -3.474558
   1.337891	  -2.885616
   1.347656	  -2.253493
   1.357422	  -1.647507
   1.367188	  -1.116451
   1.376953	  -0.677286
   1.386719	  -0.315296
   1.396484	   0.004900
   1.406250	   0.321837
   1.416016	   0.659691
   1.425781	   1.017072
   1.435547	   1.366038
   1.445312	   1.661496
   1.455078	   1.857411
   1.464844	   1.923840
   1.474609	   1.858558
   1.484375	   1.689041
   1.494141	   1.464054
   1.503906	   1.237830
   1.513672	   1.052444
   1.523438	   0.924635
   1.533203	   0.841694
   1.542969	   0.767806
   1.552734	   0.658546
   1.562500	   0.478364
   1.572266	   0.214893
   1.582031	  -0.114876
   1.591797	  -0.468646
   1.601562	  -0.791549
   1.611328	  -1.033062
   1.621094	  -1.162273
   1.630859	  -1.176369
   1.640625	  -1.099733
   1.650391	  -0.974394
   1.660156	  -0.845497
   1.669922	  -0.747036
   1.679688	  -0.692726
   1.689453	  -0.674803
   1.699219	  -0.670545
   1.708984	  -0.653576
   1.718750	  -0.605388
   1.728516	  -0.522775
   1.738281	  -0.418585
   1.748047	  -0.315936
   1.757812	  -0.238499
   1.767578	  -0.200907
   1.777344	  -0.203145
   1.787109	  -0.231059
   1.796875	  -0.262652
   1.806641	  -0.277446
   1.816406	  -0.265004
   1.826172	  -0.228967
   1.835938	  -0.184798
   1.845703	  -0.151945
   1.855469	  -0.143482
   1.865234	  -0.157448
   1.875000	  -0.173714
   1.884766	  -0.158199
   1.894531	  -0.073540
   1.904297	   0.107218
   1.914062	   0.388700
   1.923828	   0.747477
   1.933594	   1.134943
   1.943359	   1.488301
   1.953125	   1.746338
   1.962891	   1.865001
   1.972656	   1.827890
   1.982422	   1.648510
   1.992188	   1.364059
   2.001953	   1.023311
   2.011719	   0.673063
   2.021484	   0.347758
   2.031250	   0.065366
   2.041016	  -0.169964
   2.050781	  -0.360690
   2.060547	  -0.507969
   2.070312	  -0.607005
   2.080078	  -0.648049
   2.089844	  -0.622805
   2.099609	  -0.533416
   2.109375	  -0.399689
   2.119141	  -0.260451
   2.128906	  -0.166895
   2.138672	  -0.168878
   2.148438	  -0.298123
   2.158203	  -0.554062
   2.167969	  -0.897835
   2.177734	  -1.257655
   2.187500	  -1.545107
   2.197266	  -1.678157
   2.207031	  -1.604106
   2.216797	  -1.315344
   2.226562	  -0.852798
   2.236328	  -0.295759
   2.246094	   0.258891
   2.255859	   0.721686
   2.265625	   1.032180
   2.275391	   1.170809
   2.285156	   1.158022
   2.294922	   1.041998
   2.304688	   0.879897
   2.314453	   0.719497
   2.324219	   0.587381
   2.333984	   0.487115
   2.343750	   0.406918
   2.353516	   0.332803
   2.363281	   0.261204
   2.373047	   0.205555
   2.382812	   0.193789
   2.392578	   0.257459
   2.402344	   0.416692
   2.412109	   0.667030
   2.421875	   0.973866
   2.431641	   1.277502
   2.441406	   1.508011
   2.451172	   1.605303
   2.460938	   1.537668
   2.470703	   1.312247
   2.480469	   0.973543
   2.490234	   0.590131
   2.500000	   0.233898
   2.509766	  -0.041238
   2.519531	  -0.213906
   2.529297	  -0.298309
   2.539062	  -0.334882
   2.548828	  -0.372144
   2.558594	  -0.446392
   2.568359	  -0.566619
   2.578125	  -0.710083
   2.587891	  -0.830094
   2.597656	  -0.873172
   2.607422	  -0.799310
   2.617188	  -0.598004
   2.626953	  -0.294216
   2.636719	   0.057891
   2.646484	   0.391206
   2.656250	   0.646107
   2.666016	   0.787812
   2.675781	   0.814635
   2.685547	   0.754488
   2.695312	   0.651355
   2.705078	   0.547109
   2.714844	   0.465680
   2.724609	   0.405602
   2.734375	   0.343674
   2.744141	   0.248175
   2.753906	   0.096294
   2.763672	  -0.111314
   2.773438	  -0.345044
   2.783203	  -0.552766
   2.792969	  -0.676519
   2.802734	  -0.673747
   2.812500	  -0.535275
   2.822266	  -0.292980
   2.832031	  -0.013516
   2.841797	   0.220710
   2.851562	   0.337444
   2.861328	   0.298802
   2.871094	   0.115446
   2.880859	  -0.154494
   2.890625	  -0.421907
   2.900391	  -0.593570
   2.910156	  -0.600816
   2.919922	  -0.420747
   2.929688	  -0.083202
   2.939453	   0.338581
   2.949219	   0.750297
   2.958984	   1.064421
   2.968750	   1.224507
   2.978516	   1.218430
   2.988281	   1.077014
   2.998047	   0.859564
   3.007812	   0.632058
   3.017578	   0.445891
   3.027344	   0.324274
   3.037109	   0.260212
   3.046875	   0.225610
   3.056641	   0.187059
   3.066406	   0.121777
   3.076172	   0.027561
   3.085938	  -0.076694
   3.095703	  -0.159536
   3.105469	  -0.190668
   3.115234	  -0.154080
   3.125000	  -0.055308
   3.134766	   0.079993
   3.144531	   0.215386
   3.154297	   0.317018
   3.164062	   0.365546
   3.173828	   0.361845
   3.183594	   0.324307
   3.193359	   0.279016
   3.203125	   0.247069
   3.212891	   0.234532
   3.222656	   0.229529
   3.232422	   0.208047
   3.242188	   0.146334
   3.251953	   0.034839
   3.261719	  -0.112462
   3.271484	  -0.258017
   3.281250	  -0.351178
   3.291016	  -0.346217
   3.300781	  -0.221510
   3.310547	   0.007585
   3.320312	   0.287937
   3.330078	   0.541664
   3.339844	   0.689631
   3.349609	   0.677925
   3.359375	   0.498115
   3.369141	   0.193657
   3.378906	  -0.150766
   3.388672	  -0.434360
   3.398438	  -0.571958
   3.408203	  -0.521894
   3.417969	  -0.300424
   3.427734	   0.022593
   3.437500	   0.345753
   3.447266	   0.568796
   3.457031	   0.625051
   3.466797	   0.502670
   3.476562	   0.247445
   3.486328	  -0.053735
   3.496094	  -0.303052
   3.505859	  -0.425117
   3.515625	  -0.391976
   3.525391	  -0.231204
   3.535156	  -0.014440
   3.544922	   0.169389
   3.554688	   0.246530
   3.564453	   0.185013
   3.574219	   0.005958
   3.583984	  -0.224325
   3.593750	  -0.418522
   3.603516	  -0.500057
   3.613281	  -0.430980
   3.623047	  -0.226045
   3.632812	   0.052033
   3.642578	   0.314373
   3.652344	   0.476913
   3.662109	   0.489505
   3.671875	   0.352752
   3.681641	   0.116716
   3.691406	  -0.137842
   3.701172	  -0.328732
   3.710938	  -0.401477
   3.720703	  -0.347796
   3.730469	  -0.206923
   3.740234	  -0.049485
   3.750000	   0.049906
   3.759766	   0.041207
   3.769531	  -0.081897
   3.779297	  -0.279226
   3.789062	  -0.478653
   3.798828	  -0.602560
   3.808594	  -0.596410
   3.818359	  -0.448911
   3.828125	  -0.196398
   3.837891	   0.090125
   3.847656	   0.330447
   3.857422	   0.463700
   3.867188	   0.469493
   3.876953	   0.373954
   3.886719	   0.238592
   3.896484	   0.136343
   3.906250	   0.123841
   3.916016	   0.220382
   3.925781	   0.401410
   3.935547	   0.608917
   3.945312	   0.774679
   3.955078	   0.847402
   3.964844	   0.813259
   3.974609	   0.701807
   3.984375	   0.574740
   3.994141	   0.501525
   4.003906	   0.531108
   4.013672	   0.670583
   4.023438	   0.879375
   4.033203	   1.081775
   4.042969	   1.193780
   4.052734	   1.154641
   4.062500	   0.951393
   4.072266	   0.626895
   4.082031	   0.267726
   4.091797	  -0.024372
   4.101562	  -0.167648
   4.111328	  -0.129533
   4.121094	   0.060804
   4.130859	   0.321437
   4.140625	   0.545365
   4.150391	   0.637272
   4.160156	   0.546359
   4.169922	   0.283526
   4.179688	  -0.083224
   4.189453	  -0.453425
   4.199219	  -0.729814
   4.208984	  -0.851996
   4.218750	  -0.815818
   4.228516	  -0.671474
   4.238281	  -0.501245
   4.248047	  -0.385446
   4.257812	  -0.369592
   4.267578	  -0.445485
   4.277344	  -0.553753
   4.287109	  -0.607340
   4.296875	  -0.527365
   4.306641	  -0.277846
   4.316406	   0.114248
   4.326172	   0.562031
   4.335938	   0.944820
   4.345703	   1.148656
   4.355469	   1.106889
   4.365234	   0.825902
   4.375000	   0.386062
   4.384766	  -0.083285
   4.394531	  -0.446509
   4.404297	  -0.607214
   4.414062	  -0.540368
   4.423828	  -0.299402
   4.433594	   0.004487
   4.443359	   0.243512
   4.453125	   0.320157
   4.462891	   0.202659
   4.472656	  -0.063877
   4.482422	  -0.374894
   4.492188	  -0.605991
   4.501953	  -0.660094
   4.511719	  -0.504578
   4.521484	  -0.184308
   4.531250	   0.194601
   4.541016	   0.504545
   4.550781	   0.644949
