# Time	Amplitude (cm/s/s)
   0.000000	  -0.222385
   0.009766	  -0.240219
   0.019531	  -0.227280
   0.029297	  -0.190432
   0.039062	  -0.140929
   0.048828	  -0.090854
   0.058594	  -0.049957
   0.068359	  -0.023925
   0.078125	  -0.014480
   0.087891	  -0.020917
   0.097656	  -0.042087
   0.107422	  -0.077696
   0.117188	  -0.128139
   0.126953	  -0.192813
   0.136719	  -0.267642
   0.146484	  -0.343089
   0.156250	  -0.403934
   0.166016	  -0.431555
   0.175781	  -0.408506
   0.185547	  -0.324204
   0.195312	  -0.179853
   0.205078	   0.009273
   0.214844	   0.215422
   0.224609	   0.403875
   0.234375	   0.541083
   0.244141	   0.603164
   0.253906	   0.582190
   0.263672	   0.488220
   0.273438	   0.346317
   0.283203	   0.189306
   0.292969	   0.048439
   0.302734	  -0.055225
   0.312500	  -0.116073
   0.322266	  -0.144263
   0.332031	  -0.161125
   0.341797	  -0.191218
   0.351562	  -0.253633
   0.361328	  -0.355360
   0.371094	  -0.488761
   0.380859	  -0.633826
   0.390625	  -0.764311
   0.400391	  -0.855629
   0.410156	  -0.891894
   0.419922	  -0.869903
   0.429688	  -0.798952
   0.439453	  -0.696838
   0.449219	  -0.583600
   0.458984	  -0.475250
   0.468750	  -0.379545
   0.478516	  -0.295062
   0.488281	  -0.213581
   0.498047	  -0.124649
   0.507812	  -0.020514
   0.517578	   0.100361
   0.527344	   0.232366
   0.537109	   0.364515
   0.546875	   0.484049
   0.556641	   0.580393
   0.566406	   0.647956
   0.576172	   0.686845
   0.585938	   0.701416
   0.595703	   0.697482
   0.605469	   0.679467
   0.615234	   0.648765
   0.625000	   0.604002
   0.634766	   0.543025
   0.644531	   0.465683
   0.654297	   0.376061
   0.664062	   0.282963
   0.673828	   0.198148
   0.683594	   0.132731
   0.693359	   0.092982
   0.703125	   0.077167
   0.712891	   0.074837
   0.722656	   0.069166
   0.732422	   0.041861
   0.742188	  -0.020810
   0.751953	  -0.122892
   0.761719	  -0.256305
   0.771484	  -0.402105
   0.781250	  -0.535218
   0.791016	  -0.631240
   0.800781	  -0.673166
   0.810547	  -0.655903
   0.820312	  -0.587135
   0.830078	  -0.484344
   0.839844	  -0.369047
   0.849609	  -0.260263
   0.859375	  -0.169393
   0.869141	  -0.098188
   0.878906	  -0.040317
   0.888672	   0.014211
   0.898438	   0.073541
   0.908203	   0.139483
   0.917969	   0.205741
   0.927734	   0.259530
   0.937500	   0.285989
   0.947266	   0.273744
   0.957031	   0.219546
   0.966797	   0.130231
   0.976562	   0.021189
   0.986328	  -0.088175
   0.996094	  -0.180432
   1.005859	  -0.245443
   1.015625	  -0.283129
   1.025391	  -0.302670
   1.035156	  -0.318438
   1.044922	  -0.344101
   1.054688	  -0.387009
   1.064453	  -0.444906
   1.074219	  -0.506168
   1.083984	  -0.553550
   1.093750	  -0.570164
   1.103516	  -0.545613
   1.113281	  -0.480156
   1.123047	  -0.385421
   1.132812	  -0.281399
   1.142578	  -0.190714
   1.152344	  -0.132076
   1.162109	  -0.115083
   1.171875	  -0.138033
   1.181641	  -0.189352
   1.191406	  -0.252009
   1.201172	  -0.309307
   1.210938	  -0.350048
   1.220703	  -0.371387
   1.230469	  -0.378559
   1.240234	  -0.381804
   1.250000	  -0.391768
   1.259766	  -0.415091
   1.269531	  -0.451771
   1.279297	  -0.495113
   1.289062	  -0.534129
   1.298828	  -0.557369
   1.308594	  -0.556706
   1.318359	  -0.529733
   1.328125	  -0.480012
   1.337891	  -0.415286
   1.347656	  -0.344506
   1.357422	  -0.274931
   1.367188	  -0.210390
   1.376953	  -0.151273
   1.386719	  -0.096038
   1.396484	  -0.043370
   1.406250	   0.006124
   1.416016	   0.049568
   1.425781	   0.083106
   1.435547	   0.104316
   1.445312	   0.114667
   1.455078	   0.120746
   1.464844	   0.133378
   1.474609	   0.164514
   1.484375	   0.222680
   1.494141	   0.308508
   1.503906	   0.412017
   1.513672	   0.512939
   1.523438	   0.584436
   1.533203	   0.599437
   1.542969	   0.537890
   1.552734	   0.392824
   1.562500	   0.173365
   1.572266	  -0.096237
   1.582031	  -0.381345
   1.591797	  -0.644063
   1.601562	  -0.850761
   1.611328	  -0.977950
   1.621094	  -1.015151
