# Time	Amplitude (cm/s/s)
   0.000000	  -0.734084
   0.009766	  -0.764443
   0.019531	  -0.708851
   0.029297	  -0.587005
   0.039062	  -0.440599
   0.048828	  -0.319143
   0.058594	  -0.262705
   0.068359	  -0.287719
   0.078125	  -0.380978
   0.087891	  -0.504034
   0.097656	  -0.606489
   0.107422	  -0.643483
   0.117188	  -0.591169
   0.126953	  -0.454688
   0.136719	  -0.265866
   0.146484	  -0.071574
   0.156250	   0.082951
   0.166016	   0.169747
   0.175781	   0.187059
   0.185547	   0.158402
   0.195312	   0.122227
   0.205078	   0.116128
   0.214844	   0.161535
   0.224609	   0.254646
   0.234375	   0.367050
   0.244141	   0.455913
   0.253906	   0.480019
   0.263672	   0.415752
   0.273438	   0.267079
   0.283203	   0.065700
   0.292969	  -0.138858
   0.302734	  -0.295784
   0.312500	  -0.370231
   0.322266	  -0.355071
   0.332031	  -0.272853
   0.341797	  -0.167215
   0.351562	  -0.086782
   0.361328	  -0.067335
   0.371094	  -0.118660
   0.380859	  -0.220809
   0.390625	  -0.331109
   0.400391	  -0.399392
   0.410156	  -0.385938
   0.419922	  -0.275696
   0.429688	  -0.083703
   0.439453	   0.150136
   0.449219	   0.374901
   0.458984	   0.546017
   0.468750	   0.639768
   0.478516	   0.659754
   0.488281	   0.633087
   0.498047	   0.597957
   0.507812	   0.587390
   0.517578	   0.615432
   0.527344	   0.671060
   0.537109	   0.722205
   0.546875	   0.728473
   0.556641	   0.657800
   0.566406	   0.500724
   0.576172	   0.276723
   0.585938	   0.029931
   0.595703	  -0.184573
   0.605469	  -0.319142
   0.615234	  -0.350040
   0.625000	  -0.285982
   0.634766	  -0.165472
   0.644531	  -0.043670
   0.654297	   0.026679
   0.664062	   0.013535
   0.673828	  -0.083435
   0.683594	  -0.233095
   0.693359	  -0.384258
   0.703125	  -0.484202
   0.712891	  -0.497667
   0.722656	  -0.419506
   0.732422	  -0.276476
   0.742188	  -0.117524
   0.751953	   0.003881
   0.761719	   0.048990
   0.771484	   0.007618
   0.781250	  -0.098411
   0.791016	  -0.223450
   0.800781	  -0.314864
   0.810547	  -0.332388
   0.820312	  -0.262977
   0.830078	  -0.125735
   0.839844	   0.034899
   0.849609	   0.165241
   0.859375	   0.221947
   0.869141	   0.187969
   0.878906	   0.079128
   0.888672	  -0.061130
   0.898438	  -0.176917
   0.908203	  -0.219605
   0.917969	  -0.164986
   0.927734	  -0.021773
   0.937500	   0.171556
