# Time	Amplitude (cm/s/s)
   0.000000	  -0.482306
   0.009766	  -0.538146
   0.019531	  -0.583401
   0.029297	  -0.607287
   0.039062	  -0.603186
   0.048828	  -0.570901
   0.058594	  -0.516789
   0.068359	  -0.451728
   0.078125	  -0.387625
   0.087891	  -0.333662
   0.097656	  -0.293593
   0.107422	  -0.264962
   0.117188	  -0.240467
   0.126953	  -0.210898
   0.136719	  -0.168570
   0.146484	  -0.110000
   0.156250	  -0.036928
   0.166016	   0.044608
   0.175781	   0.126694
   0.185547	   0.202469
   0.195312	   0.268411
   0.205078	   0.325090
   0.214844	   0.376125
   0.224609	   0.425762
   0.234375	   0.476057
   0.244141	   0.524816
   0.253906	   0.565178
   0.263672	   0.587152
   0.273438	   0.580652
   0.283203	   0.539044
   0.292969	   0.461938
   0.302734	   0.356233
   0.312500	   0.234972
   0.322266	   0.114319
   0.332031	   0.009630
   0.341797	  -0.068149
   0.351562	  -0.114629
   0.361328	  -0.132068
   0.371094	  -0.127540
   0.380859	  -0.109934
   0.390625	  -0.086901
   0.400391	  -0.062811
   0.410156	  -0.038317
   0.419922	  -0.011506
   0.429688	   0.020011
   0.439453	   0.057014
   0.449219	   0.097527
   0.458984	   0.137082
   0.468750	   0.170297
   0.478516	   0.193094
   0.488281	   0.204601
   0.498047	   0.207883
   0.507812	   0.209083
   0.517578	   0.215206
   0.527344	   0.231328
   0.537109	   0.258320
   0.546875	   0.292021
   0.556641	   0.324306
   0.566406	   0.345780
   0.576172	   0.349197
   0.585938	   0.332375
   0.595703	   0.299475
   0.605469	   0.260097
   0.615234	   0.226369
   0.625000	   0.208994
   0.634766	   0.213615
   0.644531	   0.238798
   0.654297	   0.276419
   0.664062	   0.314385
   0.673828	   0.340795
   0.683594	   0.348111
   0.693359	   0.335849
   0.703125	   0.310820
   0.712891	   0.284762
   0.722656	   0.270152
   0.732422	   0.275628
   0.742188	   0.302624
   0.751953	   0.344420
   0.761719	   0.387981
   0.771484	   0.417990
   0.781250	   0.421728
   0.791016	   0.393129
   0.800781	   0.334652
   0.810547	   0.256339
   0.820312	   0.172427
   0.830078	   0.096694
   0.839844	   0.038166
   0.849609	  -0.001376
   0.859375	  -0.027287
   0.869141	  -0.049484
   0.878906	  -0.078408
   0.888672	  -0.121022
   0.898438	  -0.178266
   0.908203	  -0.244854
   0.917969	  -0.311387
   0.927734	  -0.367943
   0.937500	  -0.407724
   0.947266	  -0.429395
   0.957031	  -0.437216
   0.966797	  -0.438931
   0.976562	  -0.442236
   0.986328	  -0.451172
   0.996094	  -0.463888
   1.005859	  -0.472666
   1.015625	  -0.466334
   1.025391	  -0.434243
   1.035156	  -0.370418
   1.044922	  -0.276371
   1.054688	  -0.161500
   1.064453	  -0.040849
   1.074219	   0.069077
   1.083984	   0.155043
   1.093750	   0.210765
   1.103516	   0.238303
   1.113281	   0.246717
   1.123047	   0.248493
   1.132812	   0.255001
   1.142578	   0.272568
   1.152344	   0.300484
   1.162109	   0.331554
   1.171875	   0.354898
   1.181641	   0.359918
   1.191406	   0.339978
   1.201172	   0.294496
   1.210938	   0.228804
   1.220703	   0.151942
   1.230469	   0.073362
